Type,Name,Style,Version,Wave,Default,Infill,Bed,PrintTime,Filament,Material
Assessory,Component Cup ,Barrel,2,3,,,,,,PLA
Assessory,Component Cup Half,,1,1,,15,Skirt,1:56,19,PLA
Assessory,Component Cup Half,Barrel,1,2,,,,,,PLA
Assessory,Component Cup,,1,1,,15,Skirt,2:51,28,PLA
Assessory,Component Cup,Barrel,1,2,,,,,,PLA
Assessory,Counter Wheel,,1,3,,,,,,PLA
Assessory,Dice Tower,,3,1,,15,Skirt,13:14,148,PLA
Assessory,Dice Tower,SciFi,1,3,,,,,,PLA
Assessory,Dice Tower,Stonghold,1,2,,,,,,PLA
Assessory,Dice Tower,Tavern,1,2,,,,,,PLA
Assessory,Dice Tray,,3,1,,15,Skirt,5:30,60,PLA
Assessory,Dice Tray,No Logo,3,1,,15,Skirt,5:21,60,PLA
Assessory,Dice Tray,SciFi,1,3,,,,,,PLA
Assessory,Dice Tray,Stronghold,1,2,,,,,,PLA
Assessory,Dice Tray,Tavern,1,2,,,,,,PLA
Core,Frame Lock,,1,1,FrameLock,15,Skirt,0:51,9,PLA
Core,Frame,,1,1,Frame,15,None,11:00,125,PLA
Core,Tile Lock,,1,1,,15,Skirt,0:18,2,PLA
Core,Tile Lock,,2,1.5,TileLock,15,Skirt,0:18,2,PLA
Leg,Foot,"Elite,Elite - Short,Elite - Adj",1,1,Frame,15,Skirt,,,TPU
Leg,Foot,Lite w/Foot,1,1.5,Frame,,,,,TPU
Leg,Foot,SciFi,1,2,Frame,,,,,TPU
Leg,Foot,"Standard,Standard - Short",1,1,Frame,15,Skirt,1:59,10,TPU
Leg,Foot,Stronghold,1,2,Frame,,,,,TPU
Leg,Foot,Tavern,1,2,Frame,,,,,TPU
Leg,Leg Adj. Bottom,Elite - Adj,1,1.5,Frame,10,Brim,1:46,21,PLA
Leg,Leg Adj. Lock Nut,Elite - Adj,1,1.5,Frame,15,Skirt,0:22,3,PLA
Leg,Leg Adj. Top,Elite - Adj,1,1.5,Frame,10,Brim,2:57,30,PLA
Leg,Leg,Elite,1,1,Frame,10,Brim,4:34,53,PLA
Leg,Leg,Elite - Short,1,1.5,Frame,10,Brim,0:56,11,PLA
Leg,Leg,Lite,1,1,Frame,10,Brim,3:25,39,PLA
Leg,Leg,Lite w/Foot,2,1.5,Frame,10,Brim,3:29,40,PLA
Leg,Leg,SciFi,1,2,Frame,,,,,PLA
Leg,Leg,Standard,1,1,Frame,10,Brim,5:03,60,PLA
